'id_car_serie','id_car_model','id_car_generation','name','date_create','date_update','id_car_type'
'44514','1380','6525','Spec V Coupe 2-doors','1426631001','1640029364','1'
'44515','1380','6526','Coupe','1426631001','1568054853','1'
'44516','1380','6527','Coupe','1426631001','1568054853','1'
'44553','1470','6528','Hatchback 5-doors','1426631135','1568054886','1'
'44554','1470','6528','Hatchback 3-doors','1426631135','1568054886','1'
'44555','1470','6529','Hatchback 5-doors','1426631135','1568054886','1'
'44556','1470','6529','Hatchback 3-doors','1426631135','1568054886','1'
'44557','1470','6530','Hatchback 5-doors','1426631135','1568054886','1'
'44558','1470','6530','Hatchback 3-doors','1426631135','1568054886','1'
'44726','1851','5763','Pickup','1426631687','1568055038','1'
'44995','20370','6531','Minivan','1426632460','1461881889','1'
'44996','20370','6532','Minivan','1426632460','1461881889','1'
'44998','387','7866','Nova','1426975487','1434676766','1'
'44999','885','8171','Spyder','1426976272','1434676932','1'
'45000','956','6533','Sedan','1426976369','1568054715','1'
'45002','2390','7549','SUV 5-doors','1426978496','1461881834','1'
'45003','2392','7550','Sedan','1426978498','1461881836','1'
'45004','5811','7551','Sedan','1426978500','1568055240','1'
'45005','5812','8938','wagon 5-doors','1426978501','1461888919','1'
'45006','18880','7566','SUV 5-doors','1426978504','1461881888','1'
'45007','18882','6969','Sedan Long','1426978506','1461889089','1'
'45008','18882','6535','Sedan','1426978506','1461889089','1'
'45009','18882','6536','Sedan','1426978506','1461889089','1'
'45010','18882','6537','Sedan','1426978506','1461889089','1'
'45011','18882','6538','Sedan','1426978506','1461889090','1'
'45132','40','123956','Hatchback','1566162000','1582895421','1'
'45138','230','6541','Sedan V','1429393584','1461884714','1'
'45139','288','6542','Cabriolet','1429393713','1568054484','1'
'45140','490','6543','Grand minivan','1429394015','1568054537','1'
'45141','517','5569','Hatchback 5-doors','1429394046','1461885260','1'
'45142','652','6544','Sedan','1429394203','1568054600','1'
'45143','652','6544','Liftback','1429394204','1568054600','1'
'45144','652','6544','wagon','1429394204','1568054600','1'
'45146','652','6545','Sedan','1429394204','1568054601','1'
'45147','652','6545','Liftback 5-doors','1429394204','1568054601','1'
'45148','652','6545','wagon 5-doors','1429394204','1568054601','1'
'45153','893','941','Isuzu Impulse II','1429394722','1434677107','1'
'45154','897','946','Isuzu Piazza II','1429394726','1434676757','1'
'45155','897','947','Isuzu Piazza I','1429394726','1434677106','1'
'45157','1156','1206','Hatchback 3-doors','1429395332','1640022121','1'
'45159','1174','6546','Coupe 4-doors','1429395356','1568054783','1'
'45160','1174','6547','Coupe 4-doors','1429395356','1568054783','1'
'45161','20349','9066','Hatchback 3-doors','1429395426','1462122498','1'
'45163','1256','6549','Cooper S wagon 4-doors','1429395564','1568054788','1'
'45166','1300','6552','Crossover','1429395680','1586464084','1'
'45168','1354','1441','wagon','1429395799','1568054841','1'
'45171','1395','6553','Crossover','1429395905','1568054859','1'
'45172','1395','6553','SUV 5-doors','1429395905','1461887004','1'
'45173','1404','6554','SUV','1429395918','1568054862','1'
'45174','1404','6555','SUV 3-doors','1429395918','1568054862','1'
'45175','1404','6555','SUV 5-doors','1429395918','1568054862','1'
'45179','1692','6556','Crossblade cabriolet 2-doors','1429396551','1568054960','1'
'45180','1692','6556','Cabriolet','1429396551','1568054960','1'
'45183','1906','6557','Hatchback 5-doors','1429397004','1568055042','1'
'45184','1906','6557','Hatchback 3-doors','1429397004','1568055043','1'
'45185','1906','6558','Hatchback 3-doors','1429397004','1568055043','1'
'45186','2121','6559','Sedan','1429397438','1568055136','1'
'45187','2121','6559','Liftback','1429397438','1568055136','1'
'45188','2121','6559','wagon','1429397438','1568055136','1'
'45189','2138','6560','Sedan','1429397460','1461888446','1'
'45190','2138','6561','Sedan','1429397460','1461888446','1'
'45191','2149','6562','Pickup','1429397534','1463267709','1'
'45192','2149','5856','Van','1429397534','1463267709','1'
'45195','2371','6563','Sedan','1429397681','1461881654','1'
'45196','2371','6563','Hatchback 5-doors','1429397681','1461881654','1'
'45197','2270','6564','Hatchback','1429397685','1568055207','1'
'45198','2340','6324','Hatchback 3-doors','1429397765','1461881673','1'
'45199','2251','10003','SUV 5-doors','1429397888','1461888741','1'
'45204','2322','6567','Sedan','1429398041','1461881828','1'
'45205','2322','6568','Sedan','1429398042','1461881828','1'
'45206','2322','6568','Coupe','1429398042','1461881828','1'
'45207','2322','6568','wagon 5-doors','1429398042','1461881828','1'
'45209','2391','6570','Sedan','1429398052','1461881836','1'
'45212','18961','6572','Holden Statesman II','1429398067','1434676789','1'
'45217','18965','7571','Coupe crossover 5-doors','1429398123','1639990643','1'
'45218','18966','7572','SUV 5-doors Coupe','1429398124','1461881894','1'
'45219','18967','6574','Sedan','1429398125','1461881894','1'
'45220','18967','6574','Hatchback 5-doors','1429398125','1461881895','1'
'45222','18969','7574','Hatchback 5-doors','1429398129','1461881896','1'
'45250','18985','8978','Hatchback 5-doors','1429398151','1461889099','1'
'45374','95','6594','Crossover','1432141684','1586391747','1'
'45375','133','10754','V8 S Coupe 2-doors','1432141784','1568054430','1'
'45376','133','10754','Coupe 2-doors','1432141784','1568054430','1'
'45381','190','6597','Sedan','1432141905','1461877148','1'
'45382','200','6598','Sedan','1432141918','1461884650','1'
'45383','200','6598','Coupe','1432141918','1461884650','1'
'45384','200','6599','Sedan','1432141918','1461884650','1'
'45385','267','6600','Coupe 2-doors','1432142109','1568054468','1'
'45386','288','6601','Sedan','1432142143','1568054482','1'
'45387','491','6602','Coupe','1432142625','1568054537','1'
'45388','491','6603','Coupe','1432142625','1568054537','1'
'45389','496','6604','SUV','1432142633','1568054539','1'
'45390','496','6605','SUV 5-doors','1432142633','1461885244','1'
'45391','585','6606','wagon','1432142846','1568054583','1'
'45392','615','6607','Compactvan','1432142891','1461879069','1'
'45393','623','6608','Crossover','1432142946','1629680705','1'
'45394','623','6609','Crossover','1432142946','1586461117','1'
'45395','623','6610','Crossover','1432142946','1568054588','1'
'45396','630','6611','SUV','1432142957','1568054591','1'
'45397','631','6612','Pickup Single cabin Regular Cab','1432142958','1461879072','1'
'45398','659','6613','Minivan','1432143002','1640011561','1'
'45399','763','6614','Crossover','1432143235','1586461816','1'
'45400','770','6615','Crossover 5-doors','1432143247','1568054654','1'
'45401','777','6616','SUV 5-doors','1432143259','1461879149','1'
'45402','777','6617','Crossover 5-doors','1432143259','1568054656','1'
'45403','777','6617','Crossover 3-doors','1432143259','1568054656','1'
'45404','824','6618','Sedan','1432143376','1568054669','1'
'45406','833','6619','Hatchback','1432143425','1568054673','1'
'45407','833','6619','Hatchback 3-doors','1432143425','1568054673','1'
'45408','834','6620','Hatchback 5-doors','1432143426','1568054674','1'
'45409','834','6620','Hatchback 3-doors','1432143426','1568054674','1'
'45410','834','6620','wagon','1432143426','1568054674','1'
'45415','918','6624','Sedan','1432143597','1568054704','1'
'45416','949','6625','GT Sedan 4-doors','1432143689','1568054713','1'
'45417','950','6626','Hatchback 5-doors','1432143692','1568054713','1'
'45418','950','6626','Hatchback 3-doors','1432143692','1568054713','1'
