'id_car_generation','id_car_model','name','year_begin','year_end','date_create','date_update','id_car_type'
'124364','990','3 generation (844) [restyling]','2011','2014','1575375182','1575375182','1'
'124368','20286','1 generation','1952','1970','1575375243','1575375243','1'
'124369','23069','1 generation','1922','1931','1575375603','1575375603','1'
'124370','23070','1 generation','1975','1981','1575375723','1575375723','1'
'124371','23071','1 generation','1982','1983','1575375963','1575375963','1'
'124372','23072','1 generation','1973','1976','1575376022','1575376022','1'
'124376','1004','2 generation (Type 843)','2003','2006','1575376382','1575376382','1'
'124378','23073','1 generation','2015','2019','1575376742','1575376742','1'
'124379','23074','[restyling]','2007','2014','1575376921','1575376921','1'
'124380','23075','1 generation','2014','2018','1575376982','1575376982','1'
'124381','23076','1 generation','2014','2018','1575377042','1575377042','1'
'124382','23077','1 generation','2015','2021','1575377102','1575377102','1'
'124387','23078','1 generation','2009','2016','1575377522','1575377522','1'
'124388','1037','2 generation','2019','2021','1575377583','1575377583','1'
'124389','20295','1 generation','2001','2002','1575377703','1575377703','1'
'124390','20296','1 generation','1952','1959','1575377762','1575377762','1'
'124391','1038','10 generation','2016','2019','1575377822','1575377822','1'
'124392','1038','7 generation','1982','1987','1575377822','1575377822','1'
'124393','1038','Mark 5 generation','1959','1960','1575377822','1575377822','1'
'124394','23079','1 generation','2019','2021','1575377882','1575377882','1'
'124395','1043','1 generation [restyling]','2018','2019','1575378002','1575378002','1'
'124396','1047','2 generation [restyling]','2016','2019','1575378302','1575378302','1'
'124397','23080','1 generation','1968','1971','1575378362','1575378362','1'
'124398','23081','1 generation','1972','1976','1575378422','1575378422','1'
'124399','23082','1 generation','2018','2021','1575378662','1575378662','1'
'124400','1048','U554','2017','2019','1575378782','1575378782','1'
'124401','1048','U326 [restyling]','2014','2017','1575378782','1575378782','1'
'124404','20301','1 generation','1955','1960','1575378842','1575378842','1'
'124405','1049','3 generation [restyling]','2003','2011','1575378904','1575378904','1'
'124406','23209','1 generation','2018','2021','1575378962','1575378962','1'
'124410','23083','1 generation','2018','2021','1575379742','1575379742','1'
'124411','23084','1 generation','2012','2021','1575379802','1575379802','1'
'124412','23085','1 generation','2013','2017','1575379922','1575379922','1'
'124413','23086','1 generation','2013','2021','1575379982','1575379982','1'
'124414','23087','1 generation','1990','2000','1575380402','1575380402','1'
'124415','23088','1 generation','1997','1999','1575380822','1575380822','1'
'124419','1115','3 generation','1979','1990','1575383222','1575383222','1'
'124420','23089','1 generation','2005','2005','1575383522','1575383522','1'
'124421','22538','1 generation','2018','2021','1575383822','1575383822','1'
'124422','1216','8 generation','1998','2002','1575384722','1575384722','1'
'124423','1217','4 generation [restyling]','2005','2011','1575384842','1575384842','1'
'124424','1223','5 generation','1960','1964','1575385261','1575385261','1'
'124425','1224','1 generation [restyling]','1997','2001','1575385323','1575385323','1'
'124426','1226','1 generation','1986','1991','1575385442','1575385442','1'
'124427','1227','2 generation','1987','1994','1575385501','1575385501','1'
'124428','23090','1 generation','1987','2000','1575385742','1575385742','1'
'124429','23091','1 generation','1955','1962','1575386402','1575386402','1'
'124430','23092','1 generation','1966','1980','1575386462','1575386462','1'
'124431','23093','1 generation','1950','1953','1575386822','1575386822','1'
'124432','1256','F54 [restyling]','2019','2021','1575387602','1575387602','1'
'124438','1260','F56 [restyling]','2018','2019','1575387783','1575387783','1'
'124440','1279','1 generation','2001','2006','1575387975','1575387975','1'
'124441','23094','1 generation','1998','2007','1575388442','1575388442','1'
'124443','23095','1 generation','2018','2021','1575388742','1575388742','1'
'124446','23096','1 generation','2015','2021','1575388862','1575388862','1'
'124450','23097','1 generation','1932','1942','1575389942','1575389942','1'
'124451','23098','1 generation','2006','2011','1575390122','1575390122','1'
